bar,datetime,target_position,net_return,economic_equity,trade_cost,commission_paid_cum,termination_cause
540,2023-01-01 00:00:00,0.0,0.0,10000.0,0.0,0.0,
541,2023-01-01 04:00:00,0.0,0.0,10000.0,0.0,0.0,
542,2023-01-01 08:00:00,0.0,0.0,10000.0,0.0,0.0,
543,2023-01-01 12:00:00,0.0,0.0,10000.0,0.0,0.0,
544,2023-01-01 16:00:00,0.0,0.0,10000.0,0.0,0.0,
545,2023-01-01 20:00:00,0.0,0.0,10000.0,0.0,0.0,
546,2023-01-02 00:00:00,0.0,0.0,10000.0,0.0,0.0,
547,2023-01-02 04:00:00,0.0,0.0,10000.0,0.0,0.0,
548,2023-01-02 08:00:00,0.0,0.0,10000.0,0.0,0.0,
549,2023-01-02 12:00:00,0.0,0.0,10000.0,0.0,0.0,
550,2023-01-02 16:00:00,0.0,0.0,10000.0,0.0,0.0,
551,2023-01-02 20:00:00,0.0,0.0,10000.0,0.0,0.0,
552,2023-01-03 00:00:00,0.0,0.0,10000.0,0.0,0.0,
553,2023-01-03 04:00:00,0.0,0.0,10000.0,0.0,0.0,
554,2023-01-03 08:00:00,0.0,0.0,10000.0,0.0,0.0,
555,2023-01-03 12:00:00,0.0,0.0,10000.0,0.0,0.0,
556,2023-01-03 16:00:00,0.0,0.0,10000.0,0.0,0.0,
557,2023-01-03 20:00:00,0.0,0.0,10000.0,0.0,0.0,
558,2023-01-04 00:00:00,0.0,0.0,10000.0,0.0,0.0,
559,2023-01-04 04:00:00,0.0,0.0,10000.0,0.0,0.0,
560,2023-01-04 08:00:00,0.0,0.0,10000.0,0.0,0.0,
561,2023-01-04 12:00:00,0.0,0.0,10000.0,0.0,0.0,
562,2023-01-04 16:00:00,0.0,0.0,10000.0,0.0,0.0,
563,2023-01-04 20:00:00,0.0,0.0,10000.0,0.0,0.0,
564,2023-01-05 00:00:00,0.0,0.0,10000.0,0.0,0.0,
565,2023-01-05 04:00:00,0.0,0.0,10000.0,0.0,0.0,
566,2023-01-05 08:00:00,0.0,0.0,10000.0,0.0,0.0,
567,2023-01-05 12:00:00,0.0,0.0,10000.0,0.0,0.0,
568,2023-01-05 16:00:00,0.0,0.0,10000.0,0.0,0.0,
569,2023-01-05 20:00:00,0.0,0.0,10000.0,0.0,0.0,
570,2023-01-06 00:00:00,0.0,0.0,10000.0,0.0,0.0,
571,2023-01-06 04:00:00,0.0,0.0,10000.0,0.0,0.0,
572,2023-01-06 08:00:00,0.0,0.0,10000.0,0.0,0.0,
573,2023-01-06 12:00:00,0.0,0.0,10000.0,0.0,0.0,
574,2023-01-06 16:00:00,0.0,0.0,10000.0,0.0,0.0,
575,2023-01-06 20:00:00,0.0,0.0,10000.0,0.0,0.0,
576,2023-01-07 00:00:00,0.0,0.0,10000.0,0.0,0.0,
577,2023-01-07 04:00:00,0.0,0.0,10000.0,0.0,0.0,
578,2023-01-07 08:00:00,0.0,0.0,10000.0,0.0,0.0,
579,2023-01-07 12:00:00,0.0,0.0,10000.0,0.0,0.0,
580,2023-01-07 16:00:00,0.0,0.0,10000.0,0.0,0.0,
581,2023-01-07 20:00:00,0.0,0.0,10000.0,0.0,0.0,
582,2023-01-08 00:00:00,0.0,0.0,10000.0,0.0,0.0,
583,2023-01-08 04:00:00,0.0,0.0,10000.0,0.0,0.0,
