bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2024-01-01 00:00:00,1.0,0.0,0.0,0.4810184790152596,0.0,10000.0,0.0,
541,2024-01-01 04:00:00,1.0,0.0,0.0,0.48115953719486737,0.0,10000.0,0.0,
542,2024-01-01 08:00:00,1.0,0.0,0.0,0.48138152965250286,0.0,10000.0,0.0,
543,2024-01-01 12:00:00,1.0,0.0,0.0,0.4822079581503588,0.0,10000.0,0.0,
544,2024-01-01 16:00:00,1.0,0.0,0.0,0.482357311262757,0.0,10000.0,0.0,
545,2024-01-01 20:00:00,1.0,0.0,0.0,0.4753731176538989,0.0,10000.0,0.0,
546,2024-01-02 00:00:00,1.0,0.0,0.0,0.47574505267930034,0.0,10000.0,0.0,
547,2024-01-02 04:00:00,1.0,0.0,0.0,0.4782165597826348,0.0,10000.0,0.0,
548,2024-01-02 08:00:00,1.0,0.0,0.0,0.4782156164499795,0.0,10000.0,0.0,
549,2024-01-02 12:00:00,1.0,0.0,0.0,0.4781330782607209,0.0,10000.0,0.0,
550,2024-01-02 16:00:00,1.0,0.0,0.0,0.4809065273204619,0.0,10000.0,0.0,
551,2024-01-02 20:00:00,1.0,0.0,0.0,0.481061353003071,0.0,10000.0,0.0,
552,2024-01-03 00:00:00,1.0,0.0,0.0,0.47997236208699057,0.0,10000.0,0.0,
553,2024-01-03 04:00:00,1.0,0.0,0.0,0.47958161754218454,0.0,10000.0,0.0,
554,2024-01-03 08:00:00,1.0,0.0,0.0,0.47654931446547366,0.0,10000.0,0.0,
555,2024-01-03 12:00:00,1.0,0.0,0.0,0.4832736683338083,0.0,10000.0,0.0,
556,2024-01-03 16:00:00,1.0,0.0,0.0,0.49262176873930796,0.0,10000.0,0.0,
557,2024-01-03 20:00:00,-1.0,0.0,0.0,0.49420544459354,0.0,10000.0,0.0,
558,2024-01-04 00:00:00,-1.0,-4.5164093188277254,-1.0209338584615744,0.4940303845061644,-0.013014367234896018,9869.85632765104,31.677169298799996,
559,2024-01-04 04:00:00,1.0,0.0,0.0,0.4947992244587497,-0.0035795286542162907,9834.526894113214,63.67750907878635,envelope_close_sl
560,2024-01-04 08:00:00,1.0,0.0,0.0,0.49265587018103063,0.0,9834.526894113214,63.67750907878635,
561,2024-01-04 12:00:00,1.0,0.0,0.0,0.49270013927412004,0.0,9834.526894113214,63.67750907878635,
562,2024-01-04 16:00:00,1.0,0.0,0.0,0.4970616789639858,0.0,9834.526894113214,63.67750907878635,
563,2024-01-04 20:00:00,1.0,0.0,0.0,0.49232453858650027,0.0,9834.526894113214,63.67750907878635,
564,2024-01-05 00:00:00,-1.0,0.0,0.0,0.4914255374311872,0.0,9834.526894113214,63.67750907878635,
565,2024-01-05 04:00:00,-1.0,-4.377177622921753,-1.0107693136089297,0.49260561255042074,-0.008022896818729586,9755.625499580723,94.8306453530945,
566,2024-01-05 08:00:00,-1.0,0.0,0.0,0.4922803980976714,-0.008593431783272987,9671.791197346918,126.30160592367314,envelope_close_sl
567,2024-01-05 12:00:00,-1.0,-4.305342005001059,-0.9863076070164212,0.4921761703564159,0.004191232024834068,9712.327918350747,156.93910264177333,
568,2024-01-05 16:00:00,-1.0,-4.305342005001059,-0.9945035488354848,0.4928835302243158,-0.0041092640942398395,9672.417397964386,156.93910264177333,
569,2024-01-05 20:00:00,-1.0,0.0,0.0,0.49282612999270425,-0.016610980161239408,9511.749064455573,187.88916310139157,envelope_close_sl
570,2024-01-06 00:00:00,1.0,-4.184066135247429,-0.9875204380139918,0.4935110094489968,0.0035784512803476165,9545.78639507362,218.01969164563775,reversal_close
571,2024-01-06 04:00:00,1.0,0.0,0.0,0.49347161079619345,0.010069444183060439,9641.907158362232,247.547609618999,
572,2024-01-06 08:00:00,-1.0,0.0,0.0,0.4940468757552709,0.0,9641.907158362232,247.547609618999,
573,2024-01-06 12:00:00,1.0,-4.298366147777702,-1.008316051444951,0.4925259996270193,-0.006813354085870138,9576.213430829224,278.0904421608742,reversal_close
574,2024-01-06 16:00:00,-1.0,-4.298366147777702,-1.0067217515595341,0.4748580123774984,0.0007944797948085114,9583.821538910792,278.0904421608742,envelope_residual_sweep
575,2024-01-06 20:00:00,-1.0,0.0,0.0,0.4743487850020572,-0.0034025232645029657,9551.212363161803,308.7269773303988,
576,2024-01-07 00:00:00,-1.0,-4.253924945079606,-1.0026472367429584,0.47337171918938564,-0.004004196198184262,9512.96743492918,338.9823794117203,
577,2024-01-07 04:00:00,-1.0,-4.253924945079606,-1.0088905466443094,0.472438961950397,-0.003107839753529573,9483.402656560875,338.9823794117203,
578,2024-01-07 08:00:00,-1.0,-4.253924945079606,-0.9980369596132791,0.4714903161329024,0.005432125256146891,9534.91768764579,338.9823794117203,
579,2024-01-07 12:00:00,-1.0,-4.253924945079606,-0.9925166119999089,0.4713931987366914,0.0027705403207802792,9561.334561554733,338.9823794117203,
580,2024-01-07 16:00:00,-1.0,-4.253924945079606,-1.0083950537109838,0.4706229503057493,-0.007906035061048255,9485.74231528067,338.9823794117203,
