epoch,raw_train_tail_trades,raw_val_trades,raw_train_tail_total_return,raw_val_total_return,raw_train_tail_max_drawdown_fraction,raw_val_max_drawdown_fraction,monitor_value,monitor_train_tail_rap,monitor_validation_rap,monitor_gap,monitor_gap_penalty,fitness_activity_band,fitness_annualized_rate,fitness_activity_utility,fitness_validation_economics,fitness_gap_bounded,fitness_lex_key,eligible,reason,monitor_contract_id,fitness_contract_id,source_report,source_report_sha256,monitor_rank,fitness_rank,rank_delta
1,1,3,-0.006979999999999875,0.021231,0.017477781639441956,0.03734673047351492,-0.022372268847960106,-0.02445778163944183,-0.016115730473514923,0.008342051165926907,0.002085512791481727,0,3.0,0.2449489742783178,-0.016115730473514923,0.028210999999999875,"[0, -0.016115730473514923, -0.028210999999999875]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,6,19,-13
2,3,10,0.00714999999999999,0.011784999999999934,0.021700041872952536,0.047727830737534074,-0.03059463352138874,-0.014550041872952547,-0.03594283073753414,0.021392788864581593,0.005348197216145398,0,10.0,0.4472135954999579,-0.03594283073753414,0.004634999999999945,"[0, -0.03594283073753414, -0.004634999999999945]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,11,20,-9
3,5,5,0.01974599999999982,0.0025089999999998724,0.019877336880218727,0.048011672656258345,-0.03415983871224858,-0.00013133688021890744,-0.04550267265625847,0.045371335776039565,0.011342833944009891,0,5.0,0.31622776601683794,-0.04550267265625847,0.017236999999999947,"[0, -0.04550267265625847, -0.017236999999999947]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,12,21,-9
4,9,23,0.031538000000000066,-0.03563700000000003,0.00699300000000003,0.05899325908119734,-0.06483644431089802,0.024545000000000036,-0.09463025908119738,0.11917525908119742,0.029793814770299354,1,23.0,0.6782329983125268,-0.09463025908119738,0.0671750000000001,"[1, -0.09463025908119738, -0.0671750000000001]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,20,17,3
5,9,27,0.0033279999999997756,0.0586829999999996,0.026965304358562942,0.031107468469057986,-0.010834095386186971,-0.023637304358563167,0.02757553153094161,0.051212835889504774,0.012803208972376193,1,27.0,0.7348469228349535,0.02757553153094161,0.05535499999999982,"[1, 0.02757553153094161, -0.05535499999999982]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,3,4,-1
6,12,37,-0.014306000000000152,0.03830700000000098,0.02416325766104694,0.020866372407327867,-0.02449178634761704,-0.03846925766104709,0.017440627592673112,0.055909885253720204,0.013977471313430051,1,37.0,0.8602325267042626,0.017440627592673112,0.05261300000000113,"[1, 0.017440627592673112, -0.05261300000000113]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,7,5,2
7,9,12,-0.008365999999999651,0.007512999999999881,0.01623123130571054,0.05453926276203966,-0.041419004897957384,-0.02459723130571019,-0.04702626276203978,0.022429031456329587,0.005607257864082397,0,12.0,0.4898979485566356,-0.04702626276203978,0.015878999999999532,"[0, -0.04702626276203978, -0.015878999999999532]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,17,22,-5
8,4,18,-0.011520000000000086,0.030605000000000437,0.027069020866773763,0.03617329708269587,-0.030333839920754245,-0.03858902086677385,-0.005568297082695434,0.033020723784078415,0.008255180946019604,1,18.0,0.6,-0.005568297082695434,0.04212500000000052,"[1, -0.005568297082695434, -0.04212500000000052]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,10,9,1
9,6,22,-0.0008240000000001579,0.028179000000000176,0.02175577231757007,0.01992669533881738,-0.014871753072881973,-0.02257977231757023,0.008252304661182795,0.030832076978753023,0.007708019244688256,1,22.0,0.6633249580710799,0.008252304661182795,0.029003000000000334,"[1, 0.008252304661182795, -0.029003000000000334]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,5,6,-1
10,4,30,0.005597999999999992,0.006950999999999707,0.011559234969952314,0.03854877050018458,-0.025188636617626735,-0.005961234969952323,-0.03159777050018487,0.025636535530232547,0.006409133882558137,1,30.0,0.7745966692414834,-0.03159777050018487,0.0013529999999997155,"[1, -0.03159777050018487, -0.0013529999999997155]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,8,11,-3
11,5,36,-0.018077999999999927,0.06011299999999875,0.03493599999999988,0.020766951811042978,-0.029923987952760907,-0.053013999999999804,0.039346048188955776,0.09236004818895557,0.023090012047238893,1,36.0,0.848528137423857,0.039346048188955776,0.07819099999999868,"[1, 0.039346048188955776, -0.07819099999999868]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,9,2,7
12,9,22,0.026611999999999858,0.03417500000000029,0.012130880355599586,0.02920863771154893,0.007345051627438587,0.014481119644400272,0.0049663622884513585,0.009514757355948913,0.0023786893389872283,1,22.0,0.6633249580710799,0.0049663622884513585,0.0075630000000004305,"[1, 0.0049663622884513585, -0.0075630000000004305]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,1,8,-7
13,7,40,0.0005880000000000329,0.0034029999999993787,0.0202,0.04758723761913305,-0.03804117821435025,-0.019611999999999966,-0.04418423761913367,0.024572237619133703,0.006143059404783426,1,40.0,0.8944271909999159,-0.04418423761913367,0.002814999999999346,"[1, -0.04418423761913367, -0.002814999999999346]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,15,13,2
