step,timestamp,asset,timeframe,split,episode_id,run_id,seed,bar_index,price,action_raw,position,reward,gross_return,net_return,equity,pnl,commission_paid,slippage_paid,trade_cost,trades
1,2018-01-19 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,1,1003.0,0.05288505554199219,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,,0.0,0
2,2018-01-19 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,2,1053.91,0.05288505554199219,1.0,0.005090999999999985,0.005090999999999985,0.005090999999999985,10050.91,50.909999999999854,0.0,,0.0,0
3,2018-01-19 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,3,1037.9,0.08841800689697266,1.0,-0.001601000000000022,-0.001592890593986039,-0.001592890593986039,10034.9,-16.01000000000022,0.0,,0.0,0
4,2018-01-19 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,4,1016.06,0.08723938465118408,1.0,-0.0021840000000000145,-0.002176404348822624,-0.002176404348822624,10013.06,-21.840000000000146,0.0,,0.0,0
5,2018-01-19 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,5,1032.5,0.0830010175704956,1.0,0.001644000000000051,0.0016418557364083017,0.0016418557364083017,10029.5,16.44000000000051,0.0,,0.0,0
6,2018-01-20 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,6,1065.0,0.02103877067565918,1.0,0.00325,0.0032404406999351912,0.0032404406999351912,10062.0,32.5,0.0,,0.0,0
7,2018-01-20 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,7,1127.13,0.012863755226135254,1.0,0.006213000000000102,0.006174716756112206,0.006174716756112206,10124.130000000001,62.13000000000102,0.0,,0.0,0
8,2018-01-20 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,8,1102.12,0.06824219226837158,1.0,-0.0025010000000002036,-0.002470335722674643,-0.002470335722674643,10099.119999999999,-25.010000000002037,0.0,,0.0,0
9,2018-01-20 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,9,1131.47,0.12168192863464355,1.0,0.0029350000000000365,0.002906193806985199,0.002906193806985199,10128.47,29.350000000000364,0.0,,0.0,0
10,2018-01-20 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,10,1147.0,0.07108056545257568,1.0,0.0015530000000000654,0.0015333016734018717,0.0015333016734018717,10144.0,15.530000000000655,0.0,,0.0,0
11,2018-01-20 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,11,1152.75,0.09134125709533691,1.0,0.000575,0.0005668375394321767,0.0005668375394321767,10149.75,5.75,0.0,,0.0,0
